latitude,longitude,event_date,rainfall_24h,rainfall_72h,landslide_occurred
40.4372,-80.0813,2023-09-17,3.4,3.4,0
27.2667,85.9667,2017-04-18,0.1,0.2,0
0.771483087,35.56580095,2022-08-06,8.0,21.7,0
44.4686,-109.8833,2020-09-23,0.0,1.0,0
45.4966,-123.677,2023-02-18,3.6,5.7,0
47.9196,-122.315,2022-08-02,0.0,0.9,0
35.7885,-92.9331,2021-09-13,1.1,1.1,0
14.4758,-90.5312,2023-07-09,10.3,31.3,0
50.7181,-1.8649,2019-07-12,0.1,0.1,0
-30.3167,30.6667,2019-10-26,0.0,0.0,0
35.7508,68.8479,2019-02-05,16.1,18.400000000000002,0
24.5784,91.7227,2020-01-16,0.0,0.0,0
35.5278,-83.0992,2018-05-13,0.0,4.4,0
5.453011,100.214496,2017-11-18,4.8,41.6,0
31.673,76.5338,2023-06-15,0.0,4.3,0
40.6235,-111.7443,2017-02-21,13.0,17.3,0
14.7836,-91.1836,2019-12-08,0.0,0.0,0
-41.31460954,174.7789668,2016-01-17,0.0,2.5,0
36.1736,74.3001,2023-10-28,0.0,0.0,0
38.3686,-81.6026,2019-12-11,0.1,28.7,0
34.91321927,72.75163388,2017-08-19,2.8,2.8,0
24.89456743,121.7334279,2015-05-21,21.0,37.3,0
37.6536,-112.9821,2020-10-14,0.0,0.0,0
47.9536,-122.2842,2016-08-27,0.0,0.0,0
45.713,-122.7251,2022-11-02,8.0,40.2,0
30.8522,76.991,2015-05-06,0.0,0.0,0
-16.9135,145.7231,2021-02-20,14.8,151.20000000000002,0
40.19920903,-79.9235025,2021-01-15,4.5,4.5,0
33.33875958,75.1921061,2021-02-25,1.0,1.3,0
-1.1161,35.8736,2015-05-05,0.8,0.8,0
21.61900923,91.92597729,2018-12-18,6.9,6.9,0
39.941551,-121.267258,2016-07-12,0.0,0.0,0
33.7112,-117.6428,2017-05-12,0.0,0.4,0
45.5113,-122.7069,2018-06-04,0.0,0.0,0
30.3629,79.2143,2017-02-22,0.3,9.6,0
50.36554226,-121.2386985,2021-06-07,0.5,7.5,0
31.6916,76.5102,2019-06-25,2.0,6.3,0
