latitude,longitude,event_date,soil_moisture,tilt_x,vibration_count,rainfall_24h,rainfall_72h,slope_angle,ndvi,landslide_occurred
25.6269,94.1139,2021-10-16,40.01,2.46,0.0,4.0,16.0,38.13,0.4,0
30.1176,78.7472,2014-08-15 00:00:00,69.3,8.68,0.0,44.3,80.6,18.93,0.3,1
16.6252,80.6128,2022-03-07,21.34,2.88,0.0,0.0,0.0,14.91,0.89,0
43.3197,-122.6816,2015-05-20,49.33,0.58,10.0,4.9,10.3,19.12,0.44,0
38.0145,-84.4953,2013-01-13 00:00:00,56.6,4.24,19.0,28.2,42.6,25.5,0.28,1
55.4021,-131.72,2014-10-13 16:30:00,73.92,8.62,12.0,18.0,67.3,22.76,0.19,1
28.219177,83.686001,2017-08-27,23.54,0.0,8.0,12.4,34.2,15.49,0.37,0
27.9783,84.8982,2012-08-15 00:00:00,55.44,5.75,16.0,1.6,13.7,25.79,0.45,1
53.0586,-3.0939,2013-05-15 08:45:00,28.72,1.29,7.0,29.5,37.3,21.74,0.17,1
-37.63770028,176.0447055,2017-04-06 13:19:00,63.42,1.22,13.0,0.0,171.9,32.63,0.28,1
55.7496,-2.1046,2008-12-06 00:00:00,60.1,7.83,20.0,0.4,14.6,33.69,0.26,1
37.4076,-81.7889,2015-03-03 23:00:00,57.31,5.96,16.0,2.6,12.1,22.72,0.36,1
32.99132221,75.19427899,2017-04-12 13:34:00,68.0,10.74,23.0,0.0,0.0,34.11,0.14,1
41.0321,-124.1109,2015-03-17,35.81,1.65,4.0,0.0,15.7,7.94,0.54,0
43.6187,-80.1432,2013-01-13 00:00:00,39.86,9.0,22.0,28.1,40.8,36.09,0.16,1
37.9478,-107.8548,2021-01-07,52.08,0.26,0.0,0.0,3.5,21.23,0.81,0
40.6268,-79.7383,2012-11-01 08:00:00,61.23,6.96,24.0,5.9,36.8,44.65,0.51,1
19.1331,-97.1317,2017-10-16,63.56,2.49,0.0,2.5,6.8,13.99,0.46,0
33.49573061,75.18134474,2023-12-11,13.4,1.26,7.0,0.0,0.0,9.42,0.6,0
27.9333,84.4167,2023-09-26,35.9,4.53,8.0,2.1,5.1000000000000005,17.91,0.28,0
10.8388,123.495,2012-01-10 15:50:00,61.02,2.92,14.0,15.3,30.0,37.48,0.07,1
42.95491382,44.21141438,2021-10-16,38.28,3.34,7.0,0.0,0.0,13.79,0.64,0
40.4278,-79.9321,2018-01-15,49.52,1.34,7.0,1.8,16.8,19.65,0.81,0
37.5534,-122.026,2012-11-30 00:00:00,76.54,3.64,22.0,40.1,53.4,16.91,0.35,1
39.88211093,-87.23175652,2022-04-09,66.2,2.37,1.0,2.1,6.1,19.68,0.69,0
51.6014,-3.3425,2012-12-27 00:00:00,53.8,5.91,14.0,3.7,12.2,47.5,0.08,1
40.48808507,-111.650935,2017-10-04,21.95,3.8,9.0,0.2,1.7,16.82,0.73,0
34.58916028,74.24641226,2017-04-18 14:28:00,59.72,0.35,10.0,0.0,0.0,26.4,0.33,1
4.5572,101.086,2021-07-12,28.08,0.0,4.0,5.7,40.9,12.27,0.42,0
-6.8907,107.6169,2013-03-25 08:00:00,66.84,6.24,14.0,27.6,68.0,19.54,0.45,1
22.3145,104.095,2013-09-05 00:00:00,84.62,11.83,7.0,31.5,62.5,33.02,0.25,1
34.10195138,-118.3671332,2017-01-30 19:27:00,69.1,2.6,3.0,0.0,0.0,18.27,0.36,1
35.519,-83.1598,2013-01-15 00:00:00,54.04,0.0,19.0,51.1,107.1,35.18,0.55,1
28.2924,83.871,2023-07-07,38.57,1.45,3.0,1.8,18.4,0.0,0.66,0
36.2585,-85.0777,2010-02-08 00:00:00,56.96,4.1,22.0,2.4,6.6,23.39,0.25,1
39.44991493,-80.17792076,2017-01-26 20:07:00,44.95,3.04,26.0,7.5,10.0,29.58,0.37,1
17.3165,-62.7955,2016-08-04 09:00:00,57.18,2.33,1.0,4.3,5.5,25.79,0.19,1
33.9823,73.796,2015-10-14,49.66,0.97,4.0,3.0,5.2,7.65,0.58,0
36.1736,74.3001,2023-10-28,37.76,1.2,5.0,0.0,0.0,20.17,0.19,0
6.8196,80.8448,2021-05-21,44.84,3.58,5.0,0.0,3.3,11.25,0.83,0
30.3629,79.2143,2017-02-22,32.45,1.22,3.0,0.3,9.6,14.75,0.81,0
14.9935,74.0478,2009-10-02 00:00:00,35.51,2.11,15.0,26.9,115.4,25.3,0.33,1
25.0097541,111.8176623,2022-12-14,19.33,2.43,2.0,0.0,0.0,16.15,0.6,0
14.1105,-87.2507,2015-09-28 00:00:00,32.75,7.79,13.0,13.3,33.1,11.39,0.49,1
39.101,-84.822,2007-12-08 00:00:00,70.98,4.18,10.0,5.9,8.3,30.59,0.47,1
31.673,76.5338,2023-06-15,39.98,0.88,6.0,0.0,4.3,24.43,0.68,0
14.6219,-90.5119,2015-09-27 00:00:00,50.24,8.97,3.0,13.9,44.4,32.77,0.35,1
27.44,92.2833,2023-02-10,43.59,0.0,13.0,26.3,84.2,10.54,0.46,0
28.9446,82.2494,2014-08-13 00:00:00,37.18,4.83,0.0,12.0,22.1,31.58,0.63,1
48.75324647,-118.1354978,2017-04-17,34.66,4.4,3.0,3.8,5.0,18.21,0.67,0
40.42020137,-79.82994351,2017-04-06 13:22:00,50.89,5.0,16.0,29.7,34.0,51.99,0.6,1
15.0771,-91.0096,2014-06-24 00:00:00,48.71,4.6,12.0,3.1,39.5,39.58,0.52,1
35.3368,-84.0317,2013-01-17 09:00:00,88.4,8.07,24.0,33.9,108.7,18.0,0.25,1
39.625,-106.4879,2019-03-23,21.64,2.52,3.0,2.8,6.3,5.96,0.33,0
24.2315,92.6755,2017-08-16,61.9,0.0,2.0,6.0,27.1,16.18,0.95,0
8.8313,105.2523,2016-02-01,22.02,1.84,0.0,0.0,0.1,8.44,0.55,0
35.519,-83.1598,2019-12-24,40.51,0.69,10.0,0.1,35.9,22.28,0.68,0
7.8953,123.8436,2008-02-21 00:00:00,50.37,8.88,18.0,8.9,60.4,27.34,0.3,1
33.9337,74.9985,2008-04-05 00:00:00,53.52,0.0,23.0,36.2,54.3,6.06,0.0,1
34.36345704,-119.4488081,2017-11-04,54.95,0.38,9.0,0.0,1.1,13.6,0.71,0
3.2294,101.711,2021-03-08,38.59,2.1,3.0,0.3,84.0,21.26,0.72,0
41.3596,41.68,2015-11-12 00:00:00,55.9,6.5,15.0,58.6,115.7,23.59,0.26,1
40.4324,-80.0073,2012-12-21 11:50:00,47.08,5.38,15.0,7.2,20.9,19.36,0.52,1
36.23,111.38,2022-03-12,54.15,1.2,0.0,12.0,12.0,7.15,0.5,0
33.9062,-116.8721,2010-02-25 06:45:00,48.12,6.3,22.0,0.0,0.0,15.68,0.46,1
29.5193,80.4687,2017-08-10,29.61,1.32,6.0,10.9,26.8,0.0,0.45,0
50.2413,-57.5843,2007-04-15 02:30:00,71.18,6.42,13.0,0.0,0.0,35.9,0.48,1
45.973789,-117.264604,2017-03-18 15:55:00,64.33,0.71,31.0,16.5,22.7,15.4,0.31,1
-42.84729726,171.5574912,2017-02-14,64.13,1.73,3.0,46.6,198.0,16.31,0.59,0
50.7181,-1.8649,2019-07-12,24.69,1.93,8.0,0.1,0.1,30.86,0.7,0
38.51175925,-122.1044658,2023-05-21,24.4,0.9,0.0,0.0,0.0,24.72,0.65,0
17.2634,73.5446,2019-11-07,39.96,1.18,0.0,0.4,5.699999999999999,19.09,0.29,0
35.0111,72.7056,2010-07-29 00:00:00,60.16,9.47,8.0,87.0,250.3,30.43,0.43,1
46.77115383,-114.353279,2017-02-21 17:34:00,78.7,4.05,12.0,9.2,18.5,30.12,0.48,1
43.98279054,-124.0540224,2019-02-16,23.16,3.65,4.0,16.3,46.3,10.73,0.42,0
11.398541,109.003601,2016-10-30 14:24:00,56.97,6.29,20.0,6.6,21.7,21.67,0.56,1
36.2744,74.7249,2010-09-15 00:00:00,68.44,0.93,18.0,0.5,10.0,27.67,0.44,1
40.325565,-80.60591,2016-12-01 14:24:00,39.85,2.03,7.0,0.7,18.0,23.07,0.0,1
38.8759,-104.9362,2020-03-02,46.37,1.74,6.0,2.6,10.4,9.04,0.58,0
44.1547,-93.9816,2019-01-25,37.9,2.03,5.0,0.1,0.4,5.23,0.31,0
35.5278,-83.0992,2018-05-13,35.55,0.4,0.0,0.0,4.4,7.67,0.7,0
24.33197035,91.8008536,2017-06-19 14:21:00,49.18,6.44,21.0,33.5,107.5,29.34,0.3,1
